Entity_name,Entity_id
윤신지,E0042440
유성룡,E0041546
이산해,E0044553
윤두수,E0042299
윤근수,E0042241
정여립,E0050581
김응남,E0010138
안위,E0034926
소수니,E0030142
대신덕,E0014558
황신,E0065230
이순신,E0044900
정탁,E0051045
이항복,E0046429
김신국,E0009697
허성,E0063081
박인상,E0021067
이원익,E0045372
여여문,E0036420
동기달,E0072599
학린,E0060811
진과,E0054584
임해군,E0047742
이덕형,E0044017
정원,E0050662
노자영,E0012878
서원리,E0028096
기자헌,E0008399
윤돈,E0042279
오억령,E0038407
정경세,E0049920
홍계남,E0063962
정기룡,E0050017
심희수,E0033981
심우승,E0033874
장가순,E0048240
이부,E0044426
이진,E0046098
정정렬,E0050862
광해군,E0005335
조인득,E0052520
변갑섭,E0075884
김홍미,E0011084
이필형,E0046374
홍경신,E0063956
정광적,E0049969
정숙하,E0050467
비담,E0025107
김순명,E0009611
김명원,E0009117
양양공,E0035646
기건,E0008113
유영경,E0041670
윤승훈,E0042431
김담,E0008897
이정형,E0045857
고언백,E0003820
이상신,E0044596
황거정,E0065060
윤탁,E0042645
노직,E0012906
정구,E0049982
윤찬,E0042616
홍진,E0064440
배신,E0021898
유영순,E0041677
이일,E0045644
김수,E0009543
손계묵,E0075896
유영립,E0041673
이헌국,E0046472
최원,E0057519
선조,E0028912
승지,E0032268
유응수,E0041738
김시헌,E0009681
양예수,E0035674
남이공,E0012097
나덕명,E0011311
유몽정,E0041423
이천,E0046202
최영경,E0057471
정개청,E0049907
이이,E0045546
이수,E0044806
조대중,E0051662
좌가려,E0053040
송순,E0030890
이발,E0044327
선왕,E0028820
정철,E0050998
이정견,E0045802
숙종,E0031837
백홍제,E0022459
박명현,E0020681
신립,E0032901
이길,E0043895
이시발,E0044975
이지,E0046041
은계종,E0042802
홍여순,E0064255
원균,E0040619
만세,E0072059
이시언,E0044986
변응성,E0022950
한준겸,E0061971
조신,E0052339
홍이상,E0064331
임현,E0047747
이각,E0043471
신각,E0032600
당성,E0013903
정언신,E0050571
왕인,E0039140
조가석,E0051527
유사,E0041484
황윤길,E0065261
정운,E0050641
섭민,E0029149
최상중,E0057364
양호,E0035859
심사손,E0033797
순경,E0031866
도원,E0015792
권협,E0007135
노경임,E0012636
권율,E0007022
김태허,E0010870
권응수,E0007026
협보,E0063496
신의경,E0079736
정성,E0050411
체원,E0056910
관기,E0004764
미시랑,E0019971
언기,E0036150
민정,E0020248
현왕,E0063394
이정암,E0045839
정문부,E0050206
강찬,E0001433
정헌주,E0051123
이운룡,E0045320
배흥립,E0021959
권감,E0006819
이복남,E0044443
이순민,E0044897
조즙,E0052645
이덕열,E0044001
이유홍,E0045442
심액,E0033848
이수일,E0044851
선거이,E0028603
권준,E0007076
이억기,E0045106
성종,E0029554
이거,E0043506
정형규,E0067341
한효순,E0062081
이용순,E0045261
경의,E0002736
영순,E0037479
박진,E0021222
유정,E0041805
심이지,E0033901
심감,E0033703
황혁,E0065398
이적,E0045772
현각,E0063256
이시정,E0044996
순화군,E0032006
방귀온,E0021670
황정욱,E0065302
중신,E0053812
장희춘,E0048959
이광정,E0043700
경,E0002272
배응경,E0021913
윤형,E0042682
김성일,E0009485
이암,E0045061
박의,E0021038
안진,E0035038
심수경,E0033834
해구,E0062433
유몽인,E0041421
훈신,E0072012
이형욱,E0046532
이성길,E0044719
수의,E0031636
손문,E0030502
최동립,E0057258
이병,E0044383
윤경,E0042193
신잡,E0033326
이희득,E0046711
장자목,E0048770
유지,E0041841
박승업,E0020869
김광엽,E0008710
한한,E0062055
신숙주,E0033134
윤담무,E0042268
신설,E0033097
서경주,E0027590
성진선,E0029629
이성중,E0044747
심열,E0033862
최전,E0057625
이성,E0044702
유근,E0041297
최홍재,E0057777
승경궁주,E0032154
정엽,E0050594
이서,E0044646
김찬,E0010683
이광윤,E0043695
오응태,E0038467
이수경,E0044814
우수,E0039983
재매부인,E0048992
이충원,E0046292
최충원,E0057705
허균,E0063030
이증,E0046039
손석,E0070484
조종경,E0052606
봉수,E0023944
정유길,E0050684
허수겸,E0063085
이광악,E0043691
유비연,E0041480
원신궁주,E0040741
윤경립,E0042198
원호,E0040896
이상의,E0044605
장만,E0048435
송준,E0031063
장계문,E0048267
이자,E0045665
원각,E0040573
김대래,E0008907
신점,E0033352
이철,E0046231
차경석,E0055117
송언신,E0030939
이유중,E0045435
박충간,E0021281
권경우,E0006826
정언각,E0050566
문형모,E0019762
윤휘,E0042716
유격,E0041235
양원,E0035685
아달라이사금,E0034232
황상,E0065193
노개방,E0012630
포정,E0060183
황은환,E0067463
조강,E0051536
윤원형,E0042493
주공삼,E0053184
권신,E0006977
윤인함,E0042536
이호민,E0046549
호종단,E0063862
알공,E0035127
조정,E0052567
유영길,E0074629
조한국,E0052744
이춘란,E0046264
남이,E0012096
내례부인,E0012431
손시헌,E0067206
장무,E0048450
문정,E0019657
이영남,E0045182
부과,E0024101
안정,E0034983
김양,E0009747
선사,E0028738
주사충,E0053291
우거,E0039782
조응도,E0052492
풍국,E0060346
이해룡,E0046441
허홍인,E0063186
강신,E0001263
정기원,E0050026
호경,E0063660
권춘란,E0007113
합절,E0062330
유장렬,E0041787
임순원,E0047505
김가기,E0008582
이경준,E0043572
성윤문,E0029476
정욱,E0050640
황진,E0065345
본득,E0023748
문무술,E0019472
장위,E0048722
양정,E0035730
오백령,E0038264
임하중,E0047728
백유함,E0022273
뇌음신,E0013221
길삼봉,E0008537
표경조,E0060235
봉규,E0023814
신식,E0033146
원유남,E0040773
양사기,E0035542
권희,E0007151
손광유,E0030469
이몽학,E0044262
송유진,E0030987
유유,E0041724
황정철,E0065304
이이첨,E0045559
통의후,E0039042
이공기,E0074124
최우,E0057502
독고립,E0015944
김의원,E0010167
허준,E0063152
국경인,E0006146
김귀영,E0008773
신세준,E0033114
경종,E0002808
표헌,E0060292
이두산,E0073815
이소,E0044794
이장,E0045696
헌강왕,E0063198
시거운,E0070340
이수광,E0044818
윤계선,E0042206
송송례,E0030886
준량,E0053639
봉사종,E0023883
이정,E0045795
성수익,E0029397
홍세공,E0064188
박춘무,E0021275
민선,E0020141
배용길,E0021901
이현,E0046486
황우한,E0065251
민준,E0020305
임간,E0047351
최동망,E0057259
남이신,E0012100
송선,E0030873
박동량,E0020638
곽재우,E0004695
소혜왕후,E0030362
윤관,E0042215
권형,E0007137
최천건,E0057690
윤방,E0042326
박 보리스 드미트리예비치,E0072275
장응기,E0048742
하겸락,E0060525
조운,E0052435
천경자,E0079472
평강공주,E0059861
이하,E0046377
조옥곤,E0052409
이영,E0045175
조만식,E0051729
유사원,E0041490
성덕구,E0029267
대간지,E0013988
응규,E0043075
홍재구,E0064365
나급,E0011304
명기,E0018222
천신,E0075624
윤상,E0042372
정기광,E0050014
박홍수,E0021378
김윤신,E0010115
성염조,E0029449
여우길,E0036435
한응인,E0061885
김자,E0010291
박경신,E0020525
지겸,E0054067
양순용,E0035626
오간,E0038070
임국로,E0047393
유희림,E0042051
춘부,E0057968
장성길,E0048563
백가,E0021961
윤길,E0042255
이지완,E0046072
송석경,E0030865
정홍익,E0051171
신숙,E0033133
윤현,E0042678
명원부인,E0018333
허적,E0063136
영경,E0037189
조인후,E0052529
박여룡,E0020919
허잠,E0063125
남간,E0011744
백기,E0022009
허순,E0063087
예,E0037871
윤기,E0042248
강선,E0001220
마건,E0017276
이함,E0046418
변양걸,E0022937
천수경,E0055924
정창연,E0050988
황치경,E0065358
장운익,E0048713
이유,E0045408
왕학수,E0039173
을두지,E0042941
서성,E0027872
정광필,E0049972
설총,E0029102
상진,E0027352
이준경,E0045986
명종,E0018366
허감,E0063010
김흡,E0011163
신원필,E0033244
구사맹,E0005816
이영도,E0045185
김남극,E0073810
금강,E0007484
이기,E0043842
문갑송,E0019378
정사,E0050296
육연,E0042127
우승경,E0039999
순안공,E0031908
고맹영,E0003550
감경인,E0000689
최흥원,E0057800
허진,E0063161
이굉,E0043716
이경호,E0043589
김우옹,E0009997
이축,E0046258
김신,E0009692
이노병,E0043926
왕가도,E0039022
김덕겸,E0008928
주진,E0053434
환웅,E0065002
환인,E0065006
김우윤,E0009998
한산후,E0061696
단군,E0013538
홍인헌,E0064352
임몽정,E0047438
조보,E0051817
유대정,E0041339
윤의립,E0042511
박동언,E0020645
유혁로,E0041996
허흔,E0063196
정세광,E0050421
정효성,E0051195
유충걸,E0041911
한명련,E0061593
진영서,E0070841
윤자신,E0042544
박석명,E0020772
지영,E0075623
심우정,E0033878
변이중,E0022952
우복룡,E0039906
김덕함,E0008955
이보,E0044428
전강,E0049219
성후설,E0029725
김택룡,E0010876
민여임,E0020185
옹몽진,E0038902
윤동로,E0042284
하정,E0060693
이심,E0045029
김현성,E0011041
조엽,E0052386
이호의,E0046561
옥고,E0038661
미마사,E0019941
유대진,E0041340
파가,E0059533
정상인,E0050352
배설,E0021886
민인백,E0020237
성이문,E0029494
제경욱,E0051232
윤안성,E0042445
최호,E0057767
정항,E0051103
윤연,E0042461
이담,E0043957
정득공,E0050118
안홍국,E0035107
성기,E0029217
문유필,E0019614
박윤덕,E0021014
곽영,E0004678
이필영,E0046367
임수정,E0047501
조의설,E0052501
방덕룡,E0021684
민호,E0020369
마야부인,E0017401
장보,E0048473
성원규,E0029470
김상준,E0009375
이형원,E0046535
이민성,E0044315
김언공,E0009786
이경유,E0070482
이경기,E0043538
민몽룡,E0020098
정사신,E0050312
박수검,E0020831
이조,E0045883
정사호,E0050329
유성,E0041541
길나,E0008521
김식,E0009689
김억추,E0009780
서갑호,E0027559
김지남,E0010599
무왕,E0019178
김원록,E0010027
송일,E0031020
안국린,E0034531
박승종,E0020872
이맹균,E0044185
보덕,E0023241
성영,E0029450
조경,E0051549
어사상,E0036000
조욱,E0052434
김낙,E0008851
소서노,E0030121
이광영,E0043692
균여,E0007301
권진,E0007091
김상용,E0009361
도도,E0015551
견권,E0002148
덕지,E0015419
김완,E0009920
양도일,E0035467
세강,E0029738
유영,E0041669
박진원,E0021232
진,E0054561
백승현,E0022185
박응복,E0021031
유자신,E0041779
추안,E0057874
주건,E0053177
한우신,E0061860
이염,E0045167
경신,E0002625
성안의,E0029418
무골,E0018933
유색,E0041511
윤성범,E0042397
강홍립,E0001497
정응성,E0050754
정범조,E0050246
곽준,E0004701
이준,E0045985
이흘,E0046686
백사림,E0022138
이덕회,E0044021
이광,E0043669
이원,E0045335
융천,E0042788
조호익,E0052769
정교,E0049978
전일,E0073806
조빈,E0051842
신충일,E0033469
유경,E0041238
신무왕,E0032937
정흠지,E0051205
사걸,E0025357
유염,E0041665
색난,E0069215
이해,E0046436
심집,E0033940
소광진,E0029940
김수현,E0009588
신율,E0033259
김시,E0009652
초고왕,E0056944
양진,E0035787
정인홍,E0050807
정호,E0051154
발기,E0021590
서시립,E0027889
조정립,E0052576
적경궁주,E0049132
유경종,E0041244
이홍재,E0046581
기자오,E0008394
허원,E0063106
삼,E0026429
장순,E0048613
우덕,E0039832
경조,E0002802
윤공흠,E0042214
의엄,E0043329
윤가관,E0042183
이해수,E0046444
홍용규,E0064278
김응근,E0010136
백영,E0022230
문빈,E0019494
신택,E0033489
심영,E0074674
박대근,E0020623
모리가좌왕,E0018489
노정,E0012892
경섬,E0002544
문영개,E0019591
유옥,E0041685
성각,E0029162
장수왕,E0048605
진수방,E0074295
장정,E0048787
이비가,E0044501
장세철,E0048583
윤담,E0042267
이봉,E0044452
서윤련,E0028121
최황,E0057787
정충신,E0051022
송남수,E0030732
이여,E0045140
척순,E0055736
낙금,E0011557
권징,E0007097
전협,E0049755
박정길,E0021124
홍창세,E0064450
강복성,E0001167
박근원,E0020574
이빈,E0044504
이정립,E0045822
홍종락,E0064391
오장,E0038503
이남,E0043907
박광선,E0020549
권양,E0006980
의정,E0043373
권성,E0006953
정지,E0050940
배삼익,E0021876
근구수왕,E0007391
이자용,E0045683
정립,E0050166
신위,E0033245
박충원,E0021284
정학교,E0051091
오수관,E0038362
수비 권씨,E0031413
조최수,E0052707
부왕,E0024480
문공왕후,E0019415
윤기정,E0042253
황수,E0070354
신봉조,E0033015
양태진,E0035816
보과,E0023214
홍기,E0063989
유학성,E0041953
명조,E0018364
이어린년,E0072601
노대하,E0012669
왕총지,E0039167
이시,E0044967
송여종,E0030942
정응두,E0050750
고경리,E0003296
박희원,E0021413
서명학,E0027735
조종도,E0052609
윤해,E0042669
이여온,E0045147
변사정,E0022919
후광주원부인,E0065728
양연,E0035670
박춘석,E0072227
최관,E0057199
박순동,E0020888
김봉수,E0009262
지수신,E0054270
김흔,E0011152
정언충,E0050575
연,E0036662
유희,E0042045
김장생,E0010318
고원증,E0074795
조관,E0051591
한술,E0061787
임충간,E0047703
이계남,E0043596
이곡,E0043626
홍지성,E0064436
이희,E0046702
위계정,E0041114
장인식,E0048762
우인열,E0040073
배갑문,E0021836
신명규,E0032914
이응기,E0045492
주몽룡,E0053239
유인길,E0041758
태구련,E0058887
계강,E0003050
