Entity_name,Entity_id
지통,E0054435
이명덕,E0044209
부왕,E0024480
천우,E0055977
승지,E0032268
문무술,E0019472
태조,E0059033
탁신,E0058742
하연,E0060659
이지강,E0046045
정초,E0051002
변계량,E0022899
명덕태후,E0018235
원숙,E0040728
의정,E0043373
정수홍,E0050463
허조,E0063144
윤회,E0042704
허지,E0063157
성각,E0029162
이수,E0044806
유관,E0041265
박은,E0021023
이원,E0045335
사도부인,E0025472
유창,E0041878
정정렬,E0050862
문효종,E0019805
박관수,E0020546
이화영,E0046605
이백강,E0044350
박신,E0020889
유은지,E0041732
조준,E0052623
곽승우,E0004670
부과,E0024101
조대림,E0051657
박실,E0020894
조종경,E0052606
윤가관,E0042183
심청,E0033941
이순몽,E0044895
남휘,E0012320
성달생,E0029250
홍섭,E0064164
이백온,E0044354
마천목,E0017466
정기광,E0050014
권규,E0006840
전흥,E0049780
이종무,E0045917
홍해,E0064505
한상경,E0061699
하경복,E0060528
김여지,E0009805
조말생,E0051732
유정현,E0041818
조가석,E0051527
조연,E0052378
이식,E0045009
이징,E0046149
세종,E0029857
이담,E0043957
양전백,E0035727
정진,E0050964
정경,E0049913
이적,E0045772
김효손,E0011130
양녕대군,E0035446
박춘무,E0021275
효령대군,E0065651
홍여방,E0064254
안천보,E0035059
황보인,E0065157
김용기,E0009943
곽존중,E0004699
이좌국,E0045960
최이,E0057572
도조,E0015849
이예,E0045214
이지,E0046041
이제,E0045863
윤향,E0042673
안건영,E0034490
장가순,E0048240
신덕왕후,E0032766
진무,E0054677
지겸,E0054067
민무휼,E0020104
김한로,E0010947
김점현,E0075824
민무구,E0020099
이보,E0044428
이거이,E0043509
민무질,E0020102
재매부인,E0048992
대간지,E0013988
추교신,E0057820
원민생,E0040659
조비형,E0051841
남재,E0012125
성석린,E0029374
안경공,E0034498
익선,E0046784
언기,E0036150
석린,E0028406
정탁,E0051045
심온,E0033864
강상인,E0001190
정역,E0050584
한언,E0061825
채지지,E0055652
최윤덕,E0057552
이거,E0043506
장경궁주,E0048248
정무,E0050195
양여공,E0035665
좌가려,E0053040
육연,E0042127
이숙복,E0044880
박습,E0020860
이안유,E0045055
김영,E0009822
권홍,E0007140
주건,E0053177
박자청,E0021098
이각,E0043471
온군해,E0038836
원윤,E0040775
한한,E0062055
김고,E0008670
한상덕,E0061700
조치우,E0052712
오승,E0038383
권맹손,E0006901
김상직,E0009377
최한,E0057732
정인지,E0050800
김익정,E0010222
유효통,E0042039
유의,E0041740
이관,E0043654
최관,E0057199
정이오,E0050774
심정,E0033917
정상기,E0050346
이교,E0043717
김장,E0010310
정재관,E0050831
권감,E0006819
원종,E0040820
이유,E0045408
평신,E0059917
향눌,E0062888
유사,E0041484
인경,E0071974
흥달,E0065981
장자목,E0048770
이도,E0044022
황도연,E0065114
황거정,E0065060
도도,E0015551
사걸,E0025357
성덕구,E0029267
민여익,E0020184
서선,E0027869
황귀성,E0065076
최용,E0057495
윤곤,E0042210
해구,E0062433
한확,E0062074
이숙묘,E0044877
민겸호,E0020068
맹사성,E0018065
김승주,E0009644
최사강,E0057342
공규,E0004248
유장렬,E0041787
정지성,E0050948
진종,E0054874
정비,E0050286
이발,E0044327
경,E0002272
전의,E0070537
우희열,E0040206
봉규,E0023814
이춘생,E0046268
장윤화,E0048739
장옥,E0048701
교기,E0005445
백가,E0021961
안수산,E0034836
송흥록,E0031168
