"통합메타데이터 ID","전문센터ID","역통 대분류","DB정보","전문센터 메타데이터","제목","대체제목","원자료의 발신자","원자료의 편찬자","원자료의 작성자","역통 중분류","역통 소분류","전문센터주제분류","자료유형","기사레벨","발행자","파일형식","목차","초록","상위자료아이디","상위자료","의존자료","사건발생일","원자료생성일","원자료발행일","발행일","생성일","갱신일","연계주소","저자정렬","날짜정렬",
"KH.AKS.C0000001","AKS","KH.11.01.000","한국사기초사전","C0000001","창덕궁인정전(昌德宮仁政殿)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","창덕궁의 정전. 서울 종로구 와룡동. 조선후기 목조건물.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000001</get>                </url>","","",
"KH.AKS.C0000002","AKS","KH.11.01.000","한국사기초사전","C0000002","강필리(姜必履)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000002</get>                </url>","","",
"KH.AKS.C0000003","AKS","KH.11.01.000","한국사기초사전","C0000003","소수서원(紹修書院)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000003</get>                </url>","","",
"KH.AKS.C0000004","AKS","KH.11.01.000","한국사기초사전","C0000004","경복궁(景福宮)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","안중식 그림. 국립중앙박물관 소장. 북악산과 경복궁의 위치를 잘 보여준다.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000004</get>                </url>","","",
"KH.AKS.C0000005","AKS","KH.11.01.000","한국사기초사전","C0000005","경복궁경회루(景福宮慶會樓)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","서울시 종로구 세종로 경복궁 안에 있는 조선시대의 누각.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000005</get>                </url>","","",
"KH.AKS.C0000006","AKS","KH.11.01.000","한국사기초사전","C0000006","경복궁근정전(景福宮勤政殿)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","조선의 법궁인 경복궁의 정전.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000006</get>                </url>","","",
"KH.AKS.C0000007","AKS","KH.11.01.000","한국사기초사전","C0000007","고경명(高敬命)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","충남 금산시 금성면 양전리.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000007</get>                </url>","","",
"KH.AKS.C0000008","AKS","KH.11.01.000","한국사기초사전","C0000008","고금석림(古今釋林)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","이의봉 엮음. 필사본. 규장각도서.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000008</get>                </url>","","",
"KH.AKS.C0000009","AKS","KH.11.01.000","한국사기초사전","C0000009","고시언(高時彦)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000009</get>                </url>","","",
"KH.AKS.C0000010","AKS","KH.11.01.000","한국사기초사전","C0000010","곽재우(郭再祐)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","대구 중구 수동.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000010</get>                </url>","","",
